,Name,Latitude,Longitude,datum,afstand,te laat,uur,minuut,seconde
5933703,Cape Town International Airport,-33.96480179,18.60169983,Herfst,9074488.775384149,green,10.082765305982388,4.965918358943239,57.955101536594334
5933704,Cape Town International Airport,-33.96480179,18.60169983,Lente,9074488.775384149,green,10.082765305982388,4.965918358943239,57.955101536594334
5933705,Cape Town International Airport,-33.96480179,18.60169983,Winter,9074488.775384149,green,10.082765305982388,4.965918358943239,57.955101536594334
5933706,Cape Town International Airport,-33.96480179,18.60169983,Zomer,9074488.775384149,green,10.082765305982388,4.965918358943239,57.955101536594334
5938871,OR Tambo International Airport,-26.1392,28.246,Herfst,8387435.216857791,green,9.319372463175323,19.162347790519398,9.740867431163787
5938872,OR Tambo International Airport,-26.1392,28.246,Lente,8387435.216857792,green,9.319372463175325,19.16234779051946,9.740867431167514
5938873,OR Tambo International Airport,-26.1392,28.246,Winter,8387435.216857792,green,9.319372463175325,19.16234779051946,9.740867431167514
5938874,OR Tambo International Airport,-26.1392,28.246,Zomer,8387435.216857792,green,9.319372463175325,19.16234779051946,9.740867431167514
5944039,Sir Seewoosagur Ramgoolam International Airport,-20.43020058,57.68360138,Herfst,8979741.05680707,green,9.977490063118966,58.64940378713794,38.96422722827643
5944040,Sir Seewoosagur Ramgoolam International Airport,-20.43020058,57.68360138,Lente,8979741.05680707,green,9.977490063118966,58.64940378713794,38.96422722827643
5944041,Sir Seewoosagur Ramgoolam International Airport,-20.43020058,57.68360138,Winter,8979741.05680707,green,9.977490063118966,58.64940378713794,38.96422722827643
5944042,Sir Seewoosagur Ramgoolam International Airport,-20.43020058,57.68360138,Zomer,8979741.05680707,green,9.977490063118966,58.64940378713794,38.96422722827643
5945131,Douala International Airport,4.006080151,9.719479561,Lente,4817245.414576991,red,5.352494905085546,21.149694305132765,8.981658307965844
5945133,Quatro de Fevereiro Airport,-8.858369827,13.23120022,Lente,6255667.479528691,red,6.950741643920767,57.04449863524604,2.669918114762753
5945134,Seychelles International Airport,-4.674339771,55.52180099,Herfst,7375352.659785436,green,8.194836288650484,11.690177319029036,41.41063914174214
5945135,Seychelles International Airport,-4.674339771,55.52180099,Lente,7375352.659785435,green,8.194836288650484,11.690177319028974,41.410639141738415
5945136,Seychelles International Airport,-4.674339771,55.52180099,Winter,7375352.659785434,green,8.194836288650482,11.690177319028912,41.41063914173469
5945137,Seychelles International Airport,-4.674339771,55.52180099,Zomer,7375352.659785436,orange,8.194836288650484,11.690177319029036,41.41063914174214
5945698,Fuerteventura Airport,28.45269966,-13.86380005,Herfst,2865785.0007874984,green,3.184205556430554,11.05233338583323,3.1400031499937175
5945699,Fuerteventura Airport,28.45269966,-13.86380005,Lente,2865785.000787498,orange,3.184205556430553,11.052333385833197,3.140003149991855
5945700,Fuerteventura Airport,28.45269966,-13.86380005,Winter,2865785.0007874984,green,3.184205556430554,11.05233338583323,3.1400031499937175
5945701,Fuerteventura Airport,28.45269966,-13.86380005,Zomer,2865785.0007874984,orange,3.184205556430554,11.05233338583323,3.1400031499937175
6053770,La Palma Airport,28.62649918,-17.75559998,Herfst,3087140.676464578,green,3.4301563071828647,25.809378430971876,48.56270585831255
6053771,La Palma Airport,28.62649918,-17.75559998,Lente,3087140.676464578,orange,3.4301563071828647,25.809378430971876,48.56270585831255
6053772,La Palma Airport,28.62649918,-17.75559998,Winter,3087140.676464578,green,3.4301563071828647,25.809378430971876,48.56270585831255
6053773,La Palma Airport,28.62649918,-17.75559998,Zomer,3087140.676464578,orange,3.4301563071828647,25.809378430971876,48.56270585831255
6161842,Gran Canaria Airport,27.93190002,-15.38659954,Herfst,3001708.3189474936,green,3.3352314654972153,20.113887929832906,6.833275789974257
6161843,Gran Canaria Airport,27.93190002,-15.38659954,Lente,3001708.3189474936,orange,3.3352314654972153,20.113887929832906,6.833275789974257
6161844,Gran Canaria Airport,27.93190002,-15.38659954,Winter,3001708.3189474936,green,3.3352314654972153,20.113887929832906,6.833275789974257
6161845,Gran Canaria Airport,27.93190002,-15.38659954,Zomer,3001708.3189474936,orange,3.3352314654972153,20.113887929832906,6.833275789974257
6269914,Lanzarote Airport,28.94549942,-13.60519981,Herfst,2806882.499284741,green,3.1187583325386012,7.1254999523160665,7.529997138964013
6269915,Lanzarote Airport,28.94549942,-13.60519981,Lente,2806882.499284741,orange,3.1187583325386012,7.1254999523160665,7.529997138964013
6269916,Lanzarote Airport,28.94549942,-13.60519981,Winter,2806882.499284741,green,3.1187583325386012,7.1254999523160665,7.529997138964013
6269917,Lanzarote Airport,28.94549942,-13.60519981,Zomer,2806882.499284741,orange,3.1187583325386012,7.1254999523160665,7.529997138964013
6377986,Tenerife South Airport,28.04450035,-16.57250023,Herfst,3063516.8462075577,green,3.4039076068972864,24.23445641383718,14.067384830230846
6377987,Tenerife South Airport,28.04450035,-16.57250023,Lente,3063516.8462075577,orange,3.4039076068972864,24.23445641383718,14.067384830230846
6377988,Tenerife South Airport,28.04450035,-16.57250023,Winter,3063516.8462075577,green,3.4039076068972864,24.23445641383718,14.067384830230846
6377989,Tenerife South Airport,28.04450035,-16.57250023,Zomer,3063516.8462075577,orange,3.4039076068972864,24.23445641383718,14.067384830230846
6486058,Al Massira Airport,30.32500076,-9.413069725,Herfst,2446858.9909129944,green,2.7187322121255493,43.12393272753296,7.435963651977479
6486059,Al Massira Airport,30.32500076,-9.413069725,Lente,2446858.9909129944,green,2.7187322121255493,43.12393272753296,7.435963651977479
6486060,Al Massira Airport,30.32500076,-9.413069725,Winter,2446858.9909129944,green,2.7187322121255493,43.12393272753296,7.435963651977479
6486061,Al Massira Airport,30.32500076,-9.413069725,Zomer,2446858.9909129944,orange,2.7187322121255493,43.12393272753296,7.435963651977479
6488830,Mohammed V International Airport,33.36750031,-7.589970112,Herfst,2071555.4322590576,green,2.3017282580656198,18.103695483937177,6.2217290362305935
