,datum,Country,te laat,afstand,ISO 3166 Country Code,Latitude,Longitude,uur,minuut,seconde
42,Herfst,Mexico,orange,8707216.499340693,MX,23.0,-102.0,9.674684999267436,40.48109995604617,28.86599736277014
43,Herfst,Montenegro,green,1016500.2164712584,ME,42.0,19.0,1.1294446849680648,7.766681098083896,46.00086588503374
44,Herfst,Morocco,green,2284474.1004361496,MA,32.0,-5.0,2.5383045560401665,32.29827336240997,17.896401744598524
45,Herfst,Netherlands,orange,565524.7294574516,NL,52.5,5.75,0.6283608105082795,37.70164863049678,42.09891782980645
46,Herfst,Norway,orange,2213079.414094044,NO,62.0,10.0,2.4589771267711598,27.538627606269593,32.317656376175584
47,Herfst,Oman,green,5114292.547121781,OM,21.0,57.0,5.682547274579757,40.95283647478539,57.170188487123696
48,Herfst,Poland,green,904481.9632996817,PL,52.0,20.0,1.0049799592218684,0.29879755331211105,17.927853198726662
49,Herfst,Portugal,orange,1933457.8025280086,PT,39.5,-8.0,2.148286447253343,8.897186835200573,53.83121011203434
50,Herfst,Qatar,green,4497246.51998999,QA,25.5,51.25,4.996940577766655,59.81643466599931,48.98607995995879
51,Herfst,Romania,green,1486218.7861853132,RO,46.0,25.0,1.6513542068725702,39.08125241235422,4.8751447412529965
52,Herfst,Serbia,green,1070896.2742800813,RS,44.0,21.0,1.1898847492000904,11.393084952005418,23.58509712032508
53,Herfst,Seychelles,green,7375352.659785436,SC,-4.58,55.67,8.194836288650484,11.690177319029036,41.41063914174214
54,Herfst,Singapore,green,10309661.663657624,SG,1.37,103.8,11.455179626286249,27.310777577174953,18.6466546304971
55,Herfst,Slovakia,green,803665.6775277767,SK,48.67,19.5,0.8929618639197519,53.57771183518511,34.66271011110675
56,Herfst,Slovenia,orange,471180.2152196908,SI,46.0,15.0,0.5235335724663231,31.412014347979387,24.720860878763254
57,Herfst,South Africa,green,8730961.99612097,ZA,-29.0,24.0,9.701068884578856,42.06413307473138,3.847984483882785
58,Herfst,Spain,green,1724914.0655481298,ES,40.0,-4.0,1.9165711839423665,54.99427103654199,59.65626219251938
59,Herfst,Sri Lanka,green,8023066.298915476,LK,7.0,81.0,8.914518109906084,54.87108659436504,52.265195661902425
60,Herfst,Sweden,green,1325293.2118673858,SE,62.0,15.0,1.4725480131859843,28.352880791159052,21.172847469543107
61,Herfst,Switzerland,green,123177.70175402104,CH,47.0,8.0,0.13686411306002338,8.211846783601402,12.710807016084145
62,Herfst,Thailand,green,9198650.58674994,TH,15.0,100.0,10.220722874166599,13.24337244999595,14.602346999756993
63,Herfst,Tunisia,orange,1353807.2309942802,TN,34.0,9.0,1.5042302566603114,30.25381539961868,15.228923977120779
64,Herfst,Turkey,green,2037410.0777657316,TR,39.0,35.0,2.2637889752952574,15.827338517715441,49.64031106292643
65,Herfst,Ukraine,green,1646960.678435975,UA,49.0,32.0,1.8299563093733056,49.79737856239833,47.84271374389995
66,Herfst,United Arab Emirates,green,4778775.273611671,AE,24.0,54.0,5.309750304012968,18.585018240778087,35.10109444668517
67,Herfst,United Kingdom,green,973287.8733495864,GB,54.0,-2.0,1.0814309703884293,4.885858223305759,53.15149339834554
68,Herfst,United States,green,7834137.571939665,US,38.0,-97.0,8.704597302155182,42.27583812931099,16.55028775865957
69,Herfst,Vietnam,orange,9732263.866254238,VN,16.0,106.0,10.813626518060264,48.817591083615895,49.05546501695365
70,Lente,Albania,green,1113039.6001869675,AL,41.0,20.0,1.2367106668744083,14.202640012464501,12.158400747870095
71,Lente,Algeria,red,1274685.7038671384,DZ,28.0,3.0,1.4163174487412649,24.97904692447589,58.74281546855345
72,Lente,Angola,red,6255667.479528691,AO,-12.5,18.5,6.950741643920767,57.04449863524604,2.669918114762753
73,Lente,Argentina,green,11298004.45794462,AR,-34.0,-64.0,12.553338286605134,33.20029719630803,12.017831778481602
74,Lente,Australia,red,16565313.794074368,AU,-27.0,133.0,18.405904215638188,24.354252938291182,21.25517629747093
75,Lente,Austria,green,488686.7493221655,AT,47.33,13.33,0.5429852770246283,32.5791166214777,34.74699728866201
76,Lente,Belgium,orange,483467.9115186502,BE,50.83,4.0,0.5371865683540558,32.23119410124335,13.87164607460075
77,Lente,Bosnia and Herzegovina,green,859087.1139888837,BA,44.0,18.0,0.9545412377654263,57.27247426592558,16.348455955534707
78,Lente,Brazil,orange,9468399.434676254,BR,-10.0,-55.0,10.52044381630695,31.226628978416944,13.597738705016672
79,Lente,Bulgaria,green,1481705.6081898226,BG,43.0,25.0,1.6463395646553585,38.78037387932151,46.822432759290564
80,Lente,Cambodia,red,9539855.707838511,KH,13.0,105.0,10.599839675376124,35.990380522567406,59.422831354044376
81,Lente,Cameroon,red,4836563.330276733,CM,6.0,12.0,5.373959255863037,22.43755535178222,26.253321106933058
82,Lente,Canada,orange,7242794.941195089,CA,60.0,-95.0,8.04754993466121,2.8529960796726246,51.17976478035748
83,Lente,Chile,red,11937503.751013149,CL,-30.0,-71.0,13.263893056681276,15.833583400876572,50.01500405259431
84,Lente,China,orange,8563324.004993368,CN,35.0,105.0,9.514804449992631,30.888266999557864,53.29601997347176
85,Lente,Colombia,red,9076904.1690852,CO,4.0,-72.0,10.085449076761334,5.126944605680058,7.616676340803504
